,tags
0,"{'bus': 'yes', 'name': '4-а станція Люстдорфськой дороги', 'name:ru': '4-я станция Люстдорфской дороги', 'name:uk': '4-а станція Люстдорфськой дороги', 'public_transport': 'stop_position', 'ref_name': '4-а станція Люстдорфськой дороги, Одеса'}"
5,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
8,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
10,"{'crossing': 'uncontrolled', 'highway': 'crossing', 'kerb': 'lowered', 'traffic_signals:sound': 'no'}"
45,"{'crossing': 'marked', 'highway': 'crossing'}"
49,"{'direction': 'backward', 'highway': 'speed_camera', 'maxspeed': '50', 'name': 'ККШ ""Миколаївська дорога, 205""', 'ref': 'КАСКАД 160-1220'}"
57,"{'bus': 'yes', 'name': 'Зерновий', 'name:ru': 'Зерновой', 'public_transport': 'stop_position'}"
59,{'highway': 'traffic_signals'}
60,"{'bus': 'yes', 'name': 'Зерновий', 'name:ru': 'Зерновой', 'public_transport': 'stop_position'}"
68,"{'crossing': 'marked', 'highway': 'crossing'}"
74,"{'crossing': 'marked', 'highway': 'crossing'}"
76,{'highway': 'traffic_signals'}
77,"{'bus': 'yes', 'name': 'Пересипський міст', 'name:en': 'Peresypskyi Bridge', 'name:ru': 'Пересыпский мост', 'name:uk': 'Пересипський міст', 'public_transport': 'stop_position', 'ref': '191'}"
80,"{'direction': 'forward', 'traffic_sign': 'UK:5.35.2'}"
81,{'highway': 'crossing'}
89,{'highway': 'traffic_signals'}
91,"{'bus': 'yes', 'name': 'Вул. Церковна', 'name:en': 'Vul. Tserkovna', 'name:ru': 'Церковная улица', 'name:uk': 'Вул. Церковна', 'public_transport': 'stop_position'}"
99,{'highway': 'traffic_signals'}
114,{'highway': 'traffic_signals'}
115,"{'bus': 'yes', 'name': '1-й заливний', 'name:ru': '1-й заливной', 'public_transport': 'stop_position'}"
136,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
137,{'highway': 'traffic_signals'}
138,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
139,"{'bus': 'yes', 'name': 'Церковна', 'name:en': 'Church street', 'name:ru': 'Церковная', 'name:uk': 'Церковна', 'public_transport': 'stop_position', 'ref': '232'}"
157,{'highway': 'traffic_signals'}
158,"{'bus': 'yes', 'name': 'Ринок ""Привоз""', 'name:en': 'Rynok ""Pryvoz""', 'name:ru': 'Рынок ""Привоз""', 'name:uk': 'Ринок ""Привоз""', 'public_transport': 'stop_position'}"
160,{'highway': 'traffic_signals'}
162,{'highway': 'traffic_signals'}
180,{'highway': 'traffic_signals'}
204,{'highway': 'traffic_signals'}
208,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
210,"{'bus': 'yes', 'name': 'Вул. Преображенська', 'name:ru': 'Преображенская улица', 'name:uk': 'Вул. Преображенська', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Вул. Преображенська, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
218,"{'crossing': 'traffic_signals', 'crossing:island': 'no', 'highway': 'crossing'}"
220,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
223,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
224,"{'bus': 'yes', 'name': 'Вул. Гаванна', 'name:en': 'Havanna', 'name:ru': 'Гаванная', 'name:uk': 'Вул. Гаванна', 'public_transport': 'stop_position', 'ref_name': 'Вул. Гаванна, Одеса'}"
230,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
233,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
245,"{'bus': 'yes', 'name': 'Вул. Преображенська', 'name:ru': 'Преображенская улица', 'name:uk': 'Вул. Преображенська', 'public_transport': 'stop_position', 'ref_name': 'Вул. Преображенська, Одеса'}"
247,{'highway': 'traffic_signals'}
252,{'highway': 'motorway_junction'}
270,{'highway': 'motorway_junction'}
280,{'highway': 'motorway_junction'}
297,{'highway': 'motorway_junction'}
308,{'highway': 'motorway_junction'}
335,{'highway': 'motorway_junction'}
379,{'highway': 'motorway_junction'}
414,{'highway': 'crossing'}
423,{'highway': 'traffic_signals'}
427,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
469,{'created_by': 'JOSM'}
474,{'created_by': 'JOSM'}
593,{'highway': 'traffic_signals'}
