Id,running_time,completed_time,route_distance_km,delta_time
7013180891535596072,2022-01-24 11:04:12,2022-01-24 11:14:07,4.061,595.0
-1446874864726772723,2022-01-24 18:31:03,2022-01-24 18:44:03,2.766,780.0
-7109832734562886369,2022-01-24 07:33:11,2022-01-24 07:38:33,2.022,322.0
5574536568610609787,2022-01-24 17:23:20,2022-01-24 17:35:11,4.309,711.0
-9022427340295022993,2022-01-24 18:01:45,2022-01-24 18:07:09,1.819,324.0
2709500498034467543,2022-01-24 03:33:24,2022-01-24 03:38:40,2.625,316.0
-4252219050551321773,2022-01-24 21:46:51,2022-01-24 21:57:04,5.871,613.0
6543980970329191713,2022-01-24 12:38:25,2022-01-24 12:49:54,3.057,689.0
-6308558524728730066,2022-01-24 09:16:26,2022-01-24 09:28:35,4.84,729.0
5349031716632009753,2022-01-24 07:29:34,2022-01-24 07:35:43,1.113,369.0
9164265964619848792,2022-01-24 12:45:27,2022-01-24 12:58:54,3.552,807.0
-9193738858234497357,2022-01-24 18:30:16,2022-01-24 18:39:23,4.104,547.0
7639678134849021252,2022-01-24 17:52:45,2022-01-24 17:58:21,1.781,336.0
8588254177749506872,2022-01-24 13:48:18,2022-01-24 13:53:34,1.32,316.0
-8142175765506465346,2022-01-24 09:40:16,2022-01-24 09:54:25,5.42,849.0
-8408903096968362155,2022-01-24 18:01:56,2022-01-24 18:10:39,3.512,523.0
8262360492496345796,2022-01-24 08:51:33,2022-01-24 08:59:05,2.606,452.0
6045233828388947312,2022-01-24 12:18:57,2022-01-24 12:24:46,1.603,349.0
8609594715264124264,2022-01-24 06:39:38,2022-01-24 06:51:10,3.442,692.0
-1984255353959150410,2022-01-24 12:29:13,2022-01-24 12:37:42,2.423,509.00000000000006
-633085813538112735,2022-01-24 16:24:24,2022-01-24 16:30:47,1.636,383.0
-4104808348462816799,2022-01-24 14:57:45,2022-01-24 15:03:31,1.99,346.0
-2184027134241919029,2022-01-24 13:09:45,2022-01-24 13:17:01,2.013,436.0
-7324384129085155784,2022-01-24 17:57:12,2022-01-24 18:02:42,1.168,330.0
7502208203560079411,2022-01-24 03:16:29,2022-01-24 03:24:33,4.445,484.00000000000006
6172321578920866285,2022-01-24 07:24:39,2022-01-24 07:36:40,2.233,721.0
-1744179646289841377,2022-01-24 10:15:10,2022-01-24 10:19:24,1.38,254.00000000000003
-8279355005891507036,2022-01-24 01:30:07,2022-01-24 01:37:56,5.953,469.00000000000006
7907221606459332183,2022-01-24 20:10:15,2022-01-24 20:20:31,3.776,616.0
-1637548576241920654,2022-01-24 10:52:57,2022-01-24 10:57:01,1.396,244.00000000000003
-3678976691752253834,2022-01-24 09:52:03,2022-01-24 09:58:23,1.428,380.0
-7965086121476696853,2022-01-24 04:40:34,2022-01-24 04:50:32,4.578,598.0
-2837046467351823754,2022-01-24 07:31:57,2022-01-24 07:39:40,2.057,463.00000000000006
-3643974100668818918,2022-01-24 18:11:05,2022-01-24 18:19:06,4.423,481.00000000000006
9130775732568248690,2022-01-24 23:17:51,2022-01-24 23:25:37,3.568,466.00000000000006
4994224056201473509,2022-01-24 22:26:51,2022-01-24 22:34:58,2.602,487.00000000000006
6454554630401590250,2022-01-24 06:24:42,2022-01-24 06:38:29,4.073,827.0
-1402517424333683686,2022-01-24 16:45:59,2022-01-24 16:56:50,4.645,651.0
-1226482023727989623,2022-01-24 17:00:23,2022-01-24 17:09:19,2.733,536.0
-2377928545810382145,2022-01-24 06:54:01,2022-01-24 07:06:05,3.301,724.0
7059088357853330839,2022-01-24 22:16:06,2022-01-24 22:21:02,3.424,296.0
7158191419647753770,2022-01-24 09:23:18,2022-01-24 09:30:14,1.955,416.0
6419731969058951588,2022-01-24 13:32:37,2022-01-24 13:42:45,2.526,608.0
-1728903001230837989,2022-01-24 05:24:57,2022-01-24 05:30:32,3.518,335.0
-7816735267034189427,2022-01-24 05:41:15,2022-01-24 05:51:58,2.287,643.0
6970889311685566212,2022-01-24 01:46:07,2022-01-24 01:55:21,6.858,554.0
-4022957840629396263,2022-01-24 12:29:27,2022-01-24 12:39:11,2.01,584.0
2367428561252188252,2022-01-24 06:39:38,2022-01-24 06:45:35,1.609,357.0
2912650054663028961,2022-01-24 12:57:53,2022-01-24 13:08:50,2.309,657.0
-667788130437836682,2022-01-24 08:30:29,2022-01-24 08:42:48,4.262,739.0
-7700297948399821974,2022-01-24 16:54:57,2022-01-24 17:06:30,3.232,693.0
5803275378005214908,2022-01-24 16:10:52,2022-01-24 16:22:23,3.794,691.0
-2882058152751147248,2022-01-24 07:47:46,2022-01-24 08:00:25,3.086,759.0
-2672012818000159276,2022-01-24 13:20:14,2022-01-24 13:26:36,4.095,382.0
6106518041852835663,2022-01-24 17:22:15,2022-01-24 17:27:07,1.477,292.0
-3532541588541691679,2022-01-24 08:25:06,2022-01-24 08:41:08,4.813,962.0
-5442712645885518243,2022-01-24 19:33:47,2022-01-24 19:46:53,3.909,786.0
-4999465522702802046,2022-01-24 10:23:17,2022-01-24 10:38:06,5.342,889.0
-5647813749195640234,2022-01-24 18:35:26,2022-01-24 18:48:02,3.856,756.0
-2079091951813346489,2022-01-24 09:18:44,2022-01-24 09:27:29,2.345,525.0
593287499991351114,2022-01-24 14:59:11,2022-01-24 15:15:00,3.485,949.0
2996896594072888992,2022-01-24 23:00:33,2022-01-24 23:07:38,4.68,425.0
4213764251806886909,2022-01-24 08:22:49,2022-01-24 08:31:32,3.12,523.0
428311057965731110,2022-01-24 21:07:32,2022-01-24 21:19:31,5.22,719.0
-7229578919123176916,2022-01-24 07:54:46,2022-01-24 08:06:36,4.678,710.0
-2307905005377939509,2022-01-24 13:42:09,2022-01-24 13:57:06,4.841,897.0
-3127345255937350902,2022-01-24 04:20:44,2022-01-24 04:28:03,2.983,439.0
-2216129166073490038,2022-01-24 12:25:50,2022-01-24 12:32:57,2.247,427.0
-257379590886775818,2022-01-24 07:45:58,2022-01-24 07:53:26,3.568,448.0
6893393058606152638,2022-01-24 18:52:25,2022-01-24 19:04:39,5.385,734.0
-5177001822969468799,2022-01-24 03:08:44,2022-01-24 03:15:45,3.122,421.0
-9098894286373274208,2022-01-24 09:33:28,2022-01-24 09:44:11,3.012,643.0
-8683192963863568825,2022-01-24 17:08:07,2022-01-24 17:17:14,2.284,547.0
8372698251921933978,2022-01-24 15:08:47,2022-01-24 15:12:22,1.009,215.0
5609715305163753807,2022-01-24 16:47:00,2022-01-24 17:02:40,4.412,940.0
8809664872882693018,2022-01-24 16:39:33,2022-01-24 16:44:23,1.489,290.0
8712643426077540471,2022-01-24 17:58:49,2022-01-24 18:07:19,2.957,510.00000000000006
4435197693649218088,2022-01-24 20:32:32,2022-01-24 20:46:48,5.244,856.0
7681596165418684683,2022-01-24 20:15:29,2022-01-24 20:29:55,4.443,866.0
-7673505763345519472,2022-01-24 21:30:57,2022-01-24 21:42:20,2.505,683.0
-1326182243938286927,2022-01-24 12:29:51,2022-01-24 12:37:05,1.793,434.0
-5262147965436499209,2022-01-24 03:15:14,2022-01-24 03:25:48,6.071,634.0
-1405306544818920001,2022-01-24 14:13:54,2022-01-24 14:25:51,5.317,717.0
-3313231392302224190,2022-01-24 10:59:32,2022-01-24 11:09:31,2.814,599.0
-6323955045253337667,2022-01-24 19:08:44,2022-01-24 19:17:34,3.825,530.0
9130492710781463584,2022-01-24 18:03:38,2022-01-24 18:17:07,4.469,809.0
-7015678857352280867,2022-01-24 14:07:42,2022-01-24 14:18:39,2.056,657.0
7770752836290257966,2022-01-24 18:32:34,2022-01-24 18:39:59,2.402,445.0
9113148188709314668,2022-01-24 00:47:10,2022-01-24 00:57:12,6.927,602.0
9124568004071597524,2022-01-24 11:23:59,2022-01-24 11:35:01,4.903,662.0
-2953470855202151376,2022-01-24 22:14:03,2022-01-24 22:24:16,3.613,613.0
-4444905767457158020,2022-01-24 14:35:31,2022-01-24 14:50:54,2.962,923.0
-205595888378540949,2022-01-24 06:05:58,2022-01-24 06:11:43,2.665,345.0
732886885468005581,2022-01-24 12:53:22,2022-01-24 13:02:59,2.678,577.0
6883433333039031752,2022-01-24 08:07:50,2022-01-24 08:22:52,6.728,902.0
9050712951668212862,2022-01-24 12:13:15,2022-01-24 12:23:09,4.526,594.0
-4096715587706827053,2022-01-24 21:23:14,2022-01-24 21:29:56,2.377,402.0
3054596251735282480,2022-01-24 20:11:54,2022-01-24 20:22:30,3.217,636.0
-4100926512849174516,2022-01-24 06:36:51,2022-01-24 06:48:55,5.44,724.0
6234492599170222949,2022-01-24 20:41:12,2022-01-24 20:54:53,5.468,821.0
-3152615143769502314,2022-01-24 19:48:46,2022-01-24 20:01:56,3.94,790.0
-3318068366116703465,2022-01-24 09:02:02,2022-01-24 09:09:32,3.205,450.0
-7466528388289575383,2022-01-24 15:24:26,2022-01-24 15:32:29,3.344,483.00000000000006
9002350086295742682,2022-01-24 12:25:20,2022-01-24 12:34:38,2.242,558.0
1392067810564222553,2022-01-24 07:05:17,2022-01-24 07:17:28,3.579,731.0
-7670584787584614274,2022-01-24 17:13:00,2022-01-24 17:18:44,1.229,344.0
-7575616789836755548,2022-01-24 21:00:07,2022-01-24 21:14:23,4.889,856.0
-219404666332233751,2022-01-24 09:32:22,2022-01-24 09:39:48,2.772,446.0
-5128742694956006674,2022-01-24 19:20:26,2022-01-24 19:30:32,3.83,606.0
7145437746305095321,2022-01-24 09:08:57,2022-01-24 09:19:41,4.561,644.0
5418918844313178796,2022-01-24 21:09:01,2022-01-24 21:25:04,15.954,963.0
2668550664393593323,2022-01-24 14:31:37,2022-01-24 14:40:13,2.022,516.0
-3793223428109855433,2022-01-24 05:09:53,2022-01-24 05:13:19,1.55,206.0
-4142765874227052591,2022-01-24 10:10:52,2022-01-24 10:18:59,3.312,487.00000000000006
8042720811296811625,2022-01-24 12:37:50,2022-01-24 12:54:19,3.784,989.0
-3583480749884485138,2022-01-24 14:31:12,2022-01-24 14:37:25,1.946,373.0
4903525277202368568,2022-01-24 02:20:37,2022-01-24 02:36:15,9.507,938.0
-335847963500359929,2022-01-24 04:04:08,2022-01-24 04:08:37,2.349,269.0
2269844885224548590,2022-01-24 13:02:42,2022-01-24 13:13:02,1.971,620.0
