,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex,weatherStatus,date
0,0,-5,24,14,23,8,N,113,0.0,0,85,10,6,1024,30,20,-5,24,-7,20,-12,11,21,33,-12,11,1,Clear,2022-01-24
1,100,-5,23,14,23,125,SE,113,0.0,0,85,10,6,1024,30,20,-5,23,-7,19,-12,11,21,34,-12,11,1,Clear,2022-01-24
2,200,-5,23,15,23,242,WSW,113,0.0,0,84,10,6,1025,30,20,-5,23,-7,19,-12,10,21,34,-12,10,1,Clear,2022-01-24
3,300,-5,23,15,24,359,N,113,0.0,0,84,10,6,1025,30,20,-5,23,-8,19,-12,10,21,35,-12,10,1,Clear,2022-01-24
4,400,-5,23,15,24,355,N,113,0.0,0,83,10,6,1025,30,47,-5,23,-8,18,-13,9,22,35,-13,9,1,Clear,2022-01-24
5,500,-5,22,15,24,352,N,122,0.0,0,82,10,6,1025,30,73,-5,22,-8,18,-13,9,22,35,-13,9,1,Overcast,2022-01-24
6,600,-5,22,15,24,349,NNW,122,0.0,0,81,10,6,1025,30,100,-5,22,-8,17,-13,9,22,35,-13,9,1,Overcast,2022-01-24
7,700,-5,23,16,25,346,NNW,122,0.0,0,80,10,6,1025,30,97,-5,23,-8,17,-13,9,22,35,-13,9,1,Overcast,2022-01-24
8,800,-5,23,16,26,344,NNW,122,0.0,0,79,10,6,1026,30,94,-5,23,-8,17,-12,10,22,35,-12,10,1,Overcast,2022-01-24
9,900,-5,24,16,26,341,NNW,122,0.0,0,78,10,6,1026,30,91,-5,24,-8,18,-12,10,21,35,-12,10,1,Overcast,2022-01-24
10,1000,-4,24,17,27,343,NNW,122,0.0,0,77,7,4,1026,30,94,-4,24,-8,18,-12,11,21,34,-12,11,1,Overcast,2022-01-24
11,1100,-4,25,17,27,345,NNW,227,0.0,0,77,5,2,1026,30,97,-4,25,-7,19,-11,12,21,34,-11,12,1,Blowing snow,2022-01-24
12,1200,-3,26,17,28,347,NNW,227,0.0,0,77,2,1,1026,30,100,-3,26,-7,20,-11,13,21,34,-11,13,1,Blowing snow,2022-01-24
13,1300,-3,26,17,27,347,NNW,227,0.0,0,78,3,1,1026,30,100,-3,26,-6,20,-10,13,20,32,-10,13,1,Blowing snow,2022-01-24
